City,Landuse,Time,Total_Population,Groundarea
Accra,Formal,,293302.2003646851,32.032208116115385
Accra,Informal,,2876988.9639795683,450.4996297210871
Addis Ababa,Formal,,2409657.305045166,133.09992499999998
Addis Ababa,Informal,,413792.3211080933,44.045425
Arusha,Formal,,292099.1790328216,28.99109506648005
Arusha,Informal,,226432.39947433473,42.42482144587211
Bamako,Formal,,587400.6434439087,63.286990286930205
Bamako,Informal,,3263113.541065826,661.3773507350511
Beira,Formal,,20569.588821868896,4.291753020351047
Beira,Informal,,381238.300652771,102.532431013545
Gombe,Formal,,7432.587664031983,1.84801229659432
Gombe,Informal,,232218.2061484528,52.10287965691651
Ibadan,Formal,,62109.88582649231,9.075325
Ibadan,Informal,,2126368.8071112065,242.6079
Johannesburg,Formal,,7389480.257917175,1026.134875
Johannesburg,Informal,,829972.1969839477,70.16795
Kampala,Formal,,803614.9402420043,76.76384999999999
Kampala,Informal,,2080592.5771875,167.91192499999997
Khartoum,Formal,,46599.46502830506,6.3446750000000005
Khartoum,Informal,,3364211.8258624272,507.451425
Kigali,Formal,,160943.99251426698,16.20685580217718
Kigali,Informal,,643502.2002449036,61.84175837846732
Kinsasha,Formal,,140788.7526210785,13.64835
Kinsasha,Informal,,5049113.692420655,278.176375
Lagos,Formal,,381996.3210324097,36.213125000000005
Lagos,Informal,,7860078.287112198,452.28525
Luanda,Formal,,2431514.037405777,99.59750933148032
Luanda,Informal,,8506626.970861893,415.56124710644747
Lubumbashi,Formal,,129677.20167808532,9.8924
Lubumbashi,Informal,,2140349.889437256,178.797675
Nakuru,Formal,,50380.47324050903,4.261625
Nakuru,Informal,,95921.91127220154,8.23035
Ndola,Formal,,97883.9116960907,19.434475
Ndola,Informal,,235998.2550065613,46.424125
Oyo,Formal,,18489.365391082763,3.002875
Oyo,Informal,,260466.8391487121,41.373675
Port-Elizabeth,Formal,,652029.1331616973,116.949625
Port-Elizabeth,Informal,,334819.7491259765,33.969225